models,Source->Target,AUC,P,R,F1
UM1,JDT,0.806797958,0.425,0.742718447,0.540636042
UM1,LC,0.792426734,0.216080402,0.671875,0.326996198
UM1,ML,0.645145331,0.244897959,0.489795918,0.326530612
UM1,PDE,0.695821198,0.236234458,0.636363636,0.344559585
UM2,EQ,0.738004373,0.630136986,0.713178295,0.669090909
UM2,JDT,0.738861341,0.353813559,0.810679612,0.492625369
UM2,LC,0.703125,0.205882353,0.65625,0.313432836
UM2,ML,0.625808691,0.25284738,0.453061224,0.324561404
UM2,PDE,0.64359082,0.204142012,0.660287081,0.311864407
UM3,EQ,0.828582787,0.672727273,0.573643411,0.619246862
UM3,JDT,0.829667497,0.52,0.694174757,0.594594595
UM3,LC,0.792189992,0.213953488,0.71875,0.329749104
UM3,ML,0.634109525,0.230055659,0.506122449,0.316326531
UM3,PDE,0.723936818,0.262425447,0.631578947,0.370786517
UM4,EQ,0.781375472,0.654822335,0.781818182,0.712707182
UM4,JDT,0.780712629,0.380073801,0.824,0.52020202
UM4,LC,0.655415171,0.174863388,0.752941176,0.283813747
UM4,ML,0.691884695,0.245983936,0.78778135,0.374904361
UM4,PDE,0.71743774,0.263224181,0.819607843,0.398474738
