models,Source->Target,AUC,P,R,F1
SM8,ar6->ar1,0.773809524,0.4,0.444444444,0.421052632
SM8,ar1->ar3,0.7875,0.333333333,0.625,0.434782609
SM8,ar4->ar3,0.830681818,0.375,0.75,0.5
SM8,ar5->ar3,0.163636364,0.04,0.25,0.068965517
SM8,ar6->ar3,0.861363636,0.368421053,0.875,0.518518519
SM8,ar1->ar4,0.816954023,0.642857143,0.45,0.529411765
SM8,ar3->ar4,0.714655172,0.666666667,0.1,0.173913043
SM8,ar5->ar4,0.158333333,0.14,0.7,0.233333333
SM8,ar6->ar4,0.754022989,0.571428571,0.4,0.470588235
SM8,ar1->ar5,0.113839286,0.04,0.125,0.060606061
SM8,ar3->ar5,0.214285714,0.2,0.875,0.325581395
SM8,ar4->ar5,0.098214286,0.038461538,0.125,0.058823529
SM8,ar6->ar5,0.064732143,0.04,0.125,0.060606061
SM8,ar1->ar6,0.710465116,0,0,
SM8,ar3->ar6,0.674031008,,0,
SM8,ar4->ar6,0.722093023,0,0,
SM8,ar5->ar6,0.296124031,0.148514851,1,0.25862069
UM1,ar1,0.771329365,0.115384615,0.666666667,0.196721311
UM1,ar3,0.7875,0.24137931,0.875,0.378378378
UM1,ar4,0.800287356,0.340425532,0.8,0.47761194
UM1,ar5,0.955357143,0.470588235,1,0.64
UM1,ar6,0.662403101,0.25,0.733333333,0.372881356
UM2,ar1,0.682043651,0.107142857,0.666666667,0.184615385
UM2,ar3,0.747727273,0.25,0.875,0.388888889
UM2,ar4,0.752298851,0.301886792,0.8,0.438356164
UM2,ar5,0.886160714,0.444444444,1,0.615384615
UM2,ar6,0.718992248,0.260869565,0.8,0.393442623
UM3,ar1,0.722222222,0.12,0.666666667,0.203389831
UM3,ar3,0.825,0.260869565,0.75,0.387096774
UM3,ar4,0.837356322,0.411764706,0.7,0.518518519
UM3,ar5,0.857142857,0.583333333,0.875,0.7
UM3,ar6,0.727906977,0.222222222,0.533333333,0.31372549
UM4,ar1,0.689980159,0.14516129,0.818181818,0.246575342
UM4,ar3,0.831818182,0.242424242,0.8,0.372093023
UM4,ar4,0.83045977,0.350877193,0.833333333,0.49382716
UM4,ar5,0.901785714,0.444444444,0.888888889,0.592592593
UM4,ar6,0.593410853,0.272727273,0.75,0.4
