models,Source->Target,AUC,P,R,F1
SM2,JM1->PC3,0.426036983,0.11167002,0.792857143,0.195767196
SM2,KC1->PC3,0.474619289,0.107491857,0.235714286,0.147651007
SM2,KC3->PC3,0.582864394,0.197396963,0.65,0.302828619
SM2,MC1->PC3,0.608397389,0.4,0.028571429,0.053333333
SM2,MC2->PC3,0.343143582,0.139784946,0.092857143,0.111587983
SM2,MW1->PC3,0.466751269,0.1,0.007142857,0.013333333
SM2,PC1->PC3,0.545485859,0.428571429,0.021428571,0.040816327
SM2,PC2->PC3,0.5,,0,
SM2,PC4->PC3,0.307781001,0.11559633,0.9,0.204878049
SM2,PC5->PC3,0.63684554,0.168115942,0.414285714,0.239175258
SM2,CM1->PC4,0.554820142,0.124002901,0.960674157,0.219653179
SM2,JM1->PC4,0.446507284,0.229166667,0.061797753,0.097345133
SM2,KC1->PC4,0.480360084,0.142484796,0.921348315,0.246802107
SM2,KC3->PC4,0.292792793,0.039215686,0.202247191,0.065693431
SM2,MC1->PC4,0.493043094,0.116005874,0.887640449,0.205194805
SM2,MC2->PC4,0.648476106,0.118604651,0.859550562,0.208446866
SM2,MW1->PC4,0.523438147,0.12732475,1,0.225888325
SM2,PC1->PC4,0.476962151,0.103681443,0.775280899,0.182902584
SM2,PC2->PC4,0.5,0.127233738,1,0.225745086
SM2,PC3->PC4,0.5,0.127233738,1,0.225745086
SM2,PC5->PC4,0.382781658,0.110320285,0.696629213,0.19047619
SM2,CM1->PC5,0.54546596,0.479452055,0.069582505,0.121527778
SM2,JM1->PC5,0.212770353,0.021365982,0.707753479,0.041479755
SM2,KC1->PC5,0.766588552,0.160824742,0.310139165,0.211812627
SM2,KC3->PC5,0.486966611,0.116912599,0.409542744,0.181898455
SM2,MC1->PC5,0.329219736,0.528571429,0.073558648,0.129144852
SM2,MC2->PC5,0.475581714,0.573333333,0.256461233,0.354395604
SM2,MW1->PC5,0.430438342,0.35,0.013916501,0.026768642
SM2,PC1->PC5,0.566096632,0.634920635,0.159045726,0.254372019
SM2,PC2->PC5,0.5,,0,
SM2,PC3->PC5,0.709003706,0.3125,0.039761431,0.070546737
SM2,PC4->PC5,0.478146938,0.026529764,0.888667992,0.051521438
SM3,JM1->CM1,0.343148849,0.096885813,0.666666667,0.16918429
SM3,KC1->CM1,0.60525071,0.121621622,0.214285714,0.155172414
SM3,KC3->CM1,0.384421318,0.098159509,0.380952381,0.156097561
SM3,MC1->CM1,0.510209713,,0,
SM3,MC2->CM1,0.509618417,0.185185185,0.238095238,0.208333333
SM3,MW1->CM1,0.465074109,0.428571429,0.071428571,0.12244898
SM3,PC1->CM1,0.539301482,0.428571429,0.071428571,0.12244898
SM3,PC2->CM1,0.5,,0,
SM3,PC3->CM1,0.5,,0,
SM3,PC4->CM1,0.519079155,0.14028777,0.928571429,0.24375
SM3,PC5->CM1,0.635525071,0.272727273,0.357142857,0.309278351
SM3,CM1->JM1,0.463130023,0.167789001,0.849914724,0.280251195
SM3,KC1->JM1,0.391805925,0.167627097,0.744172825,0.273620401
SM3,KC3->JM1,0.502264912,0.160933969,0.728823195,0.263650386
SM3,MC1->JM1,0.478404509,0.183401105,1,0.309955947
SM3,MC2->JM1,0.407782224,0.140904869,0.603752132,0.22848537
SM3,MW1->JM1,0.479897868,0.176839643,0.945423536,0.29794858
SM3,PC1->JM1,0.456699402,0.171849779,0.907902217,0.288997467
SM3,PC2->JM1,0.5,0.183362869,1,0.309901339
SM3,PC3->JM1,0.5,0.183362869,1,0.309901339
SM3,PC4->JM1,0.512331889,0.313432836,0.119386015,0.172910663
