models,Source->Target,AUC,P,R,F1
SM2,camel-1.6->log4j-1.2,0.535714286,0.921052632,0.740740741,0.82111437
SM2,ivy-2.0->log4j-1.2,0.556712963,1,0.063492063,0.119402985
SM2,jedit-4.0->log4j-1.2,0.426587302,0.918478261,0.894179894,0.90616622
SM2,lucene-2.4->log4j-1.2,0.711309524,0.975206612,0.624338624,0.761290323
SM2,poi-3.0->log4j-1.2,0.496527778,0.921568627,0.497354497,0.64604811
SM2,prop-6->log4j-1.2,0.5,,0,
SM2,tomcat->log4j-1.2,0.494212963,0.918367347,0.952380952,0.935064935
SM2,xalan-2.7->log4j-1.2,0.513227513,0.92195122,1,0.959390863
SM2,ant-1.7->lucene-2.4,0.445327388,0.554770318,0.773399015,0.646090535
SM2,camel-1.6->lucene-2.4,0.514796304,0.562962963,0.748768473,0.642706131
SM2,ivy-2.0->lucene-2.4,0.543651792,0.725,0.142857143,0.238683128
SM2,jedit-4.0->lucene-2.4,0.437057279,0.565068493,0.812807882,0.666666667
SM2,log4j-1.2->lucene-2.4,0.399212542,0.609230769,0.975369458,0.75
SM2,poi-3.0->lucene-2.4,0.61010032,0.683417085,0.669950739,0.676616915
SM2,prop-6->lucene-2.4,0.5,,0,
SM2,tomcat->lucene-2.4,0.327298551,0.581538462,0.931034483,0.715909091
SM2,xalan-2.7->lucene-2.4,0.534752436,0.601796407,0.990147783,0.748603352
SM2,ant-1.7->poi-3.0,0.393194226,0.585365854,0.768683274,0.664615385
SM2,camel-1.6->poi-3.0,0.463340775,0.594366197,0.75088968,0.663522013
SM2,ivy-2.0->poi-3.0,0.586525497,0.844444444,0.135231317,0.233128834
SM2,jedit-4.0->poi-3.0,0.456311753,0.617414248,0.832740214,0.709090909
SM2,log4j-1.2->poi-3.0,0.533785725,0.655660377,0.989323843,0.788652482
SM2,lucene-2.4->poi-3.0,0.762847859,0.780327869,0.846975089,0.812286689
SM2,prop-6->poi-3.0,0.660717049,0.967741935,0.106761566,0.192307692
SM2,tomcat->poi-3.0,0.415684888,0.629976581,0.957295374,0.759887006
SM2,xalan-2.7->poi-3.0,0.522556973,0.637188209,1,0.778393352
SM2,ant-1.7->prop-6,0.389029181,0.098412698,0.939393939,0.17816092
SM2,camel-1.6->prop-6,0.458295072,0.094619666,0.772727273,0.168595041
SM2,ivy-2.0->prop-6,0.595832058,0.203125,0.196969697,0.2
SM2,jedit-4.0->prop-6,0.38892715,0.079447323,0.696969697,0.142635659
SM2,log4j-1.2->prop-6,0.387562494,0.101265823,0.96969697,0.183381089
SM2,lucene-2.4->prop-6,0.608585859,0.124069479,0.757575758,0.213219616
SM2,poi-3.0->prop-6,0.515240792,0.119815668,0.787878788,0.208
SM2,tomcat->prop-6,0.553974084,0.100649351,0.939393939,0.181818182
SM2,xalan-2.7->prop-6,0.494107744,0.098934551,0.984848485,0.179806362
SM2,ant-1.7->tomcat,0.714784575,0.305555556,0.571428571,0.398190045
SM2,camel-1.6->tomcat,0.65093869,0.214285714,0.506493506,0.301158301
SM2,ivy-2.0->tomcat,0.5,0.08974359,1,0.164705882
SM2,jedit-4.0->tomcat,0.720862364,0.274193548,0.441558442,0.338308458
SM2,log4j-1.2->tomcat,0.61971831,0.172413793,0.454545455,0.25
SM2,lucene-2.4->tomcat,0.301162346,0.035971223,0.194805195,0.060728745
SM2,poi-3.0->tomcat,0.395854466,0.051724138,0.272727273,0.086956522
SM2,prop-6->tomcat,0.5,0.08974359,1,0.164705882
SM2,xalan-2.7->tomcat,0.502560819,,0,
SM2,ant-1.7->xalan-2.7,0.363028953,0.982200647,0.675946548,0.800791557
SM2,camel-1.6->xalan-2.7,0.456063981,0.985507246,0.832962138,0.902836451
SM2,ivy-2.0->xalan-2.7,0.638641425,1,0.03674833,0.070891515
